ID,Sex,Age,Understand,Had sex,Sex within a year,Age sex,Pregnancy prevention,Sex under the influence,Sex with partner,Sex stregthen relationship,STD preocupation,Pregnancy preocupation,Partner status,Avoid pregnancy,Factor_1,Factor_2,Cluster
i1,2.0,2,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i2,1.0,3,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i3,2.0,1,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i4,1.0,2,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.3364670340753815,-0.6387932225267722,0
i5,2.0,1,1.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,0.9320673569510204,-1.5399109479241475,2
i6,2.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i8,1.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i9,2.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i10,2.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i11,1.0,4,1.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,-0.39755303471755543,2.4322780652993763,3
i12,1.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i13,2.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i14,1.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i15,2.0,1,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i16,2.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i17,1.0,2,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i18,1.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i19,1.0,3,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i20,1.0,1,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i21,1.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i22,1.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i23,1.0,1,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i24,2.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i25,2.0,3,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i26,1.0,2,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
i27,1.0,1,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i28,1.0,4,2.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.04462074414604578,1.229288648831808,4
i29,1.0,2,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,0.4874780041855833,0.06868253406347855,1
