ID,Q9.8,Q11.8,Q9.11_2,Q9.9_2,Q11.17_7,Q11.18_1,Q9.9_7,community_louvain,Q11.17_6,Q3.3,Q11.6,Q11.31,In_degree,Out_degree,Q11.27,Q11.26,Q11.14,eigenvector_centrality,clustering_coef,Q11.16_1,Q11.36,Q11.25,average_neigh,Q11.3,closeness,betweenness,Q11.38,Q11.52,Q11.50,Q11.37,Q11.51
i240,1.0,1.0,1.0,5.0,6.0,5.0,5.0,5,6.0,5.0,2.0,5.0,2,8,6.0,0.0,14.0,0.02824720199754683,0.4166666666666667,6.0,2.0,6.0,9.1,5.0,0.3170391061452514,0.0018592999144233409,4.0,0.0,0.0,0.0,0.0
i42,2.0,0.0,3.0,3.0,2.0,2.0,3.0,0,2.0,1.0,4.0,2.0,2,9,3.0,0.0,4.0,0.018300094115032244,0.08888888888888889,2.0,1.0,3.0,7.090909090909091,4.0,0.3408408408408408,0.020863944835263337,0.0,0.0,0.0,3.0,0.0
i143,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4,1.0,4.0,1.0,1.0,4,5,1.0,3.0,2.0,0.02122861039301819,0.47619047619047616,2.0,2.0,1.0,6.111111111111111,2.0,0.3323572474377745,0.0034460126589032736,2.0,0.0,0.0,0.0,0.0
i72,1.0,3.0,4.0,3.0,5.0,3.0,3.0,1,5.0,3.0,2.0,4.0,1,10,3.0,0.0,13.0,0.1808845876117228,0.6666666666666666,5.0,1.0,3.0,17.272727272727273,4.0,0.3304221251819505,0.0006347232018816404,0.0,0.0,0.0,3.0,0.0
i242,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,0.0,5.0,1.0,1.0,2,8,1.0,5.0,0.0,0.027487100348198595,0.5,0.0,1.0,1.0,12.1,3.0,0.3113854595336077,0.0017857739556476889,0.0,0.0,0.0,3.0,0.0
i138,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7,0.0,4.0,2.0,2.0,8,10,3.0,0.0,0.0,0.06035054078737527,0.1978021978021978,0.0,1.0,3.0,7.055555555555555,4.0,0.3614649681528662,0.013487707459876997,0.0,0.0,0.0,3.0,0.0
i159,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3,2.0,6.0,2.0,2.0,7,5,3.0,0.0,14.0,0.009238560626323663,0.39285714285714285,3.0,1.0,3.0,4.416666666666667,5.0,0.2913992297817715,0.0031529411431584784,0.0,0.0,0.0,6.0,0.0
i185,1.0,1.0,1.0,3.0,6.0,3.0,1.0,3,1.0,6.0,2.0,2.0,3,9,2.0,0.0,14.0,0.021438777216830743,0.37777777777777777,6.0,1.0,3.0,10.666666666666666,6.0,0.32016925246826516,0.005305312649583721,0.0,0.0,0.0,3.0,0.0
i172,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3,0.0,6.0,2.0,2.0,5,3,2.0,8.0,0.0,0.009654207469454836,0.3333333333333333,0.0,1.0,2.0,4.125,4.0,0.2880710659898477,0.0011085307796495035,0.0,0.0,0.0,3.0,0.0
i174,1.0,1.0,4.0,3.0,0.0,0.0,1.0,3,0.0,6.0,2.0,2.0,4,8,2.0,6.0,0.0,0.01427715186964438,0.2,0.0,1.0,2.0,7.25,4.0,0.3170391061452514,0.012979883153432147,6.0,1.0,1.0,2.0,8.0
